id	context	en	fr	de	es	ja	pt	ru	zh
unused									
button_new_game	label for button which opens a screen with the options for starting a new save file	New Game	Nouvelle partie	Neues Spiel	Nueva partida	新しいゲーム	Novo jogo	Новая игра	新游戏
button_load_game	label for button which opens a screen with the options to launch a previous save file	Load Game	Charger la partie	Spiel laden	Cargar partida	ゲームの読み込み	Carregar jogo	Загрузить игру	加载游戏
button_multiplayer_join	label for button which opens a screen with the options to join a server	Multiplayer	Multijoueur	Multiplayer	Multijugador	マルチプレイヤー	Multijogador	Мультиплеер	多人游戏
button_multiplayer_host	label for button which opens a screen with the options to host a server	Multiplayer	Multijoueur	Multiplayer	Multijugador	マルチプレイヤー	Multijogador	Мультиплеер	多人游戏
button_profile	label for button which opens a screen where the user can modify their character information	Profile	Profil	Profil	Perfil	プロフィール	Perfil	Профиль	个人资料
button_options	label for button which opens a screen which allows the user to modify their settings	Options	Options	Optionen	Opciones	オプション	Opções	Параметры	选项
button_feedback	label for button which launches a link to the company website providing options to report bugs and request features	Feedback						Обратная связь	
button_exit	label for button which closes the game	Exit	Quitter	Beenden	Salir	終了	Sair	Выход	退出
button_back	label for button which returns the user to the previous screen	Back	Retour	Zurück	Atrás	戻る	Voltar	Назад	返回
button_start_new_game	label for button which starts a new game	Start New Game	Démarrer une nouvelle partie	Neues Spiel starten	Iniciar nueva partida	新しいゲームを開始	Iniciar novo jogo	Начать новую игру	开始新游戏
button_apply_changes	label for button which applies modifications on the current screen to settings	Apply Changes	Appliquer les modifications	Änderungen übernehmen	Aplicar cambios	変更を適用	Aplicar alterações	Применить изменения	应用更改
button_reset_to_default	label for button which resets settings on the current screen to their default configuration	Reset to Default	Réinitialiser les paramètres par défaut	Auf Standard zurücksetzen	Restablecer valores predeterminados	デフォルトにリセット	Redefinir para o padrão	Сброс по умолчанию	重置为默认值
button_yes	label for button which actions affirmative response to a yes-no question	Yes	Oui	Ja	Sí	はい	Sim	Да	是
button_no	label for button which actions negative response to a yes-no question	No	Non	Nein	No	いいえ	Não	Нет	否
button_return_to_game	label for a button which closes the pause menu and returns the player to the game	Return to Game	Revenir à la partie	Zurück zum Spiel	Volver a la partida	ゲームに戻る	Retornar ao jogo	Вернуться к игре	返回游戏
button_save_game	label for a button which opens a screen with options to save the game	Save Game	Sauvegarder la partie	Spiel speichern	Guardar partida	ゲームを保存	Salvar jogo	Сохранить игру	保存游戏
button_exit_to_main_menu	label for a button which returns the user to the main menu closing the safe file in the process	Exit to Main Menu	Retour au menu principal	Zurück zum Hauptmenü	Salir al menú principal	メインメニューに戻る	Sair para o menu principal	Выйти в главное меню	退出主菜单
button_new_save	label for a button which opens a screen with the options for creating a new save file	New Save	Nouvelle sauvegarde	Neuer Speicherstand	Nueva partida guardada	新規保存	Novo salvamento	Новое сохранение	新保存
button_confirm	label for button which confirms an action posed to the user	Confirm	Confirmer	Bestätigen	Confirmar	確認	Confirmar	Подтвердить	确认
button_cancel	label for button which rejects an action posed to the user	Cancel	Annuler	Abbrechen	Cancelar	キャンセル	Cancelar	Отмена	取消
button_return_to_main_menu	label for button which returns the user to the main menu from a lost connection/unable to connect screen	Return to Main Menu	Retour au menu principal	Zurück zum Hauptmenü	Regresar al menú principal	メインメニューに戻る	Retornar ao menu principal	Вернуться в главное меню	返回主菜单
button_connect	label for a button which launches a request for a user to connect to a server	Connect						Подключиться	
button_save_clipboard	label for a button which saves the contents of the duplicate tool clipboard	Save Clipboard						Сохранить из буфера	
button_upload_to_workshop	label for a button which uploads the contents of the duplicate tool to the Steam Workshop	Upload to Workshop						Загрузить в Мастерскую	
button_upload	label for a button which uploads the contents of the duplicate tool to the Steam Workshop	Upload						Загрузить	
new_game_title	a title for the screen which displays the options for starting a new save file	NEW GAME	NOUVELLE PARTIE	NEUES SPIEL	NUEVA PARTIDA	新しいゲーム	NOVO JOGO	НОВАЯ ИГРА	新游戏
profile_title	a title for the screen where the user can modify their character information	PROFILE	PROFIL	PROFIL	PERFIL	プロフィール	PERFIL	ПРОФИЛЬ	个人资料
